County,Constituency,Sub-County,IEBC_CN,IEBC-CC,IEBC-CN,IEBC-CONSC,VOTERS,ColCODE,ConstNAME,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Machakos,Kathiani,Kathiani,KATHIANI ,16,MACHAKOS ,79,60224,79,Kathiani,68118897,97248348,102969366,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,138215033,166593720,170469856.7,183032585
Machakos,Mavoko,Mavoko,MAVOKO ,16,MACHAKOS ,80,132163,80,Mavoko,68078211,97186707,102903532,81896551.72,98189655.17,109040875.5,137367724.1,137207879.3,137088879,138215033,166593720,170469856.7,182982585
Machakos,Machakos Town,Machakos Town,MACHAKOS TOWN,16,MACHAKOS ,81,117367,81,Machakos-Town,78776932,113395549,120215087,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,158832745,192897991,197386149.9,212063573
Machakos,Mwala,Mwala,MWALA ,16,MACHAKOS ,82,89898,82,Mwala,79309990,114203146,121077626,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,151960174,184129901,188414052.2,202243910
Makueni,Mbooni,Mbooni,MBOONI ,17,MAKUENI ,83,96029,83,Mbooni,87139903,126065670,133747175,81896551.72,98189655.17,109040875.5,137367724.1,137100879.3,137088879,151960174,184167901,188414052.2,202243910
Makueni,Kilome,Kilome,KILOME ,17,MAKUENI ,84,59178,84,Kilome,69766330,99744252,105635071,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,131342462,157825629,161497759,173385923
Makueni,Kaiti,Kaiti,KAITI ,17,MAKUENI ,85,65188,85,Kaiti,75582837,108556412,115046736,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,138215033,166593720,170469856.7,182982585
Makueni,Makueni,Makueni,MAKUENI ,17,MAKUENI ,86,102712,86,Makueni,98571651,143385068,152244838,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,158832745,192917991,197386149.9,211874573
Makueni,Kibwezi West,Kibwezi West,KIBWEZI WEST,17,MAKUENI ,87,91554,87,Kibwezi-West,89778165,130062705,138016135,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,151960174,184129901,188414052.2,202243910
Makueni,Kibwezi East,Kibwezi East,KIBWEZI EAST,17,MAKUENI ,88,64740,88,Kibwezi-East,87754311,126996514,134741346,81896551.72,98189655.17,109040875.5,137367724.1,137293879.3,137088879,138215033,166593720,170469856.7,182982585
Nyandarua,Kinangop,Kinangop,KINANGOP ,18,NYANDARUA ,89,115547,89,Kinangop,80630228,116203342,123213898,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,165705316,201810082,206358247.6,221505235
Nyandarua,Kipipiri,Kipipiri,KIPIPIRI ,18,NYANDARUA ,90,54628,90,Kipipiri,71587093,102502756,108581240,81896551.72,98189655.17,109040875.5,137367724.1,137253879.3,137088879,138215033,166593720,170469856.7,182982585
Nyandarua,Ol Kalou,Ol Kalou,OL KALOU,18,NYANDARUA ,91,72997,91,OlKalou,72962510,104586548,110806795,81896551.72,98189655.17,109040875.5,137367724.1,137239879.3,137088879,145087603,175361810,179441954.5,192613248
Nyandarua,Ol Jorok,Ol Jorok,OL JOROK,18,NYANDARUA ,92,60147,92,OlJoro-Orok,68444682,97741920,103496517,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,138215033,166593720,170469856.7,182982585
Nyandarua,Ndaragwa,Ndaragwa,NDARAGWA ,18,NYANDARUA ,93,57846,93,Ndaragwa,67775214,96727658,102413253,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,138215033,166593720,170469856.7,182982585
Nyeri,Tetu,Tetu,TETU ,19,NYERI ,94,54986,94,Tetu,64870950,92327623,97713877,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,131342462,157825629,161497759,173351923
Nyeri,Kieni,Kieni,KIENI ,19,NYERI ,95,114573,95,Kieni,72730749,104235424,110431784,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,165705316,201666082,206662247.6,221505235
Nyeri,Mathira,Mathira,MATHIRA ,19,NYERI ,96,104492,96,Mathira,69749494,99718745,105607829,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,151960174,184129901,188414052.2,202243910
Nyeri,Othaya,Othaya,OTHAYA ,19,NYERI ,97,61879,97,Othaya,65954738,93969589,99467549,81896551.72,98189655.17,109040875.5,137367724.1,137145879.3,137088879,138215033,166593720,170469856.7,182982585
Nyeri,Mukurweini,Mukurweini,MUKURWEINI ,19,NYERI ,98,58534,98,Mukurwe-ini,67215311,95879390,101507277,81896551.72,98189655.17,109040875.5,137367724.1,137326879.3,137088879,138215033,166593720,170469856.7,182982585
Nyeri,Nyeri Town,Nyeri Town,NYERI TOWN,19,NYERI ,99,87168,99,Nyeri-Town,63177178,89761514,94973192,81896551.72,98189655.17,109040875.5,137367724.1,137268879.3,137088879,145087603,175361810,179441954.5,192613248
Kirinyaga,Mwea,Mwea,MWEA ,20,KIRINYAGA ,100,131714,100,Mwea,74941821,107585256,114009510,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,165705316,201666082,206358247.6,221505235
Kirinyaga,Gichugu,Gichugu,GICHUGU ,20,KIRINYAGA ,101,92495,101,Gichungu,67178399,95823468,101447550,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,145087603,175361810,179441954.5,192613248
Kirinyaga,Ndia,Ndia,NDIA ,20,KIRINYAGA ,102,69743,102,Ndia,66274384,94453861,99984766,81896551.72,98189655.17,109040875.5,137367724.1,137099879.3,137088879,131342462,159031629,161497759,173351923
Kirinyaga,Kirinyaga Central,Kirinyaga Central,KIRINYAGA CENTRAL,20,KIRINYAGA ,103,82049,103,Kirinyaga-Central,66713108,95118540,100694664,81896551.72,98189655.17,109040875.5,137367724.1,137628879.3,137088879,138215033,167748320,170481356.7,182986585
Murang’a,Kangema,Kangema,KANGEMA ,21,MURANG'A ,104,52002,104,Kangema,64643255,91982659,97345445,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,131342462,157825629,161497759,73351923
Murang’a,Mathioya,Mathioya,MATHIOYA ,21,MURANG'A ,105,58102,105,Mathioya,65769826,93689444,99168345,81896551.72,98189655.17,109040875.5,137367724.1,137137379.3,137088879,131342462,159213629,161497759,173351923
Murang’a,Kiharu,Kiharu,KIHARU ,21,MURANG'A ,106,119389,106,Kiharu,76179978,109461096,116012966,81896551.72,98189655.17,109040875.5,137367724.1,137476879.3,137088879,151960174,184129901,188414052.2,202243910
Murang’a,Kigumo,Kigumo,KIGUMO ,21,MURANG'A ,107,82609,107,Kigumo,71001111,101614978,107633065,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,145087603,175361810,179441954.5,192613248
Murang’a,Maragua,Maragua,MARAGWA ,21,MURANG'A ,108,102383,108,Maragua,76261689,109584890,116145183,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,151960174,184129901,188414052.2,202243910
Murang’a,Kandara,Kandara,KANDARA ,21,MURANG'A ,109,105148,109,Kandara,74393111,106753947,113121646,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,151960174,184129901,188414052.2,202243910
Murang’a,Gatanga,Gatanga,GATANGA ,21,MURANG'A ,110,101296,110,Gatanga,74527652,106957779,113339345,81896551.72,98189655.17,109040875.5,137367724.1,137126879.3,137088879,151960174,184129901,188414052.2,202243910
Kiambu,Gatundu South,Gatundu South,GATUNDU SOUTH,22,KIAMBU ,111,79860,111,Gatundu-South,67569836,96416506,102080933,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,138215033,166593720,170469856.7,182982585
Kiambu,Gatundu North,Gatundu North,GATUNDU NORTH,22,KIAMBU ,112,71810,112,Gatundu-North,68004552,97075112,102784345,81896551.72,98189655.17,109040875.5,137367724.1,138036879.3,137088879,138215033,166593720,170469856.7,182982585
Kiambu,Juja,Juja,JUJA ,22,KIAMBU ,113,134638,113,Juja,65909343,93900816,99394096,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,145087603,175361810,179441954.5,192613248
Kiambu,Thika Town,Thika Town,THIKA TOWN,22,KIAMBU ,114,156018,114,Thika-Town,71022496,101647376,107667667,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,145087603,175361810,179578954.5,192613248
Kiambu,Ruiru,Ruiru,RUIRU ,22,KIAMBU ,115,172088,115,Ruiru,70752792,101238767,107231260,81896551.72,98189655.17,109040875.5,137367724.1,137691879.3,137088879,165705316,201666082,206358247.6,221505235
Kiambu,Githunguri,Githunguri,GITHUNGURI ,22,KIAMBU ,116,104592,116,Githunguri,66686959,95078924,100652354,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,145087603,175361810,179441954.5,192613248
Kiambu,Kiambu,Kiambu,KIAMBU ,22,KIAMBU ,117,86986,117,Kiambu,65799783,93734828,99216817,81896551.72,98189655.17,109040875.5,137367724.1,137165879.3,137088879,138215033,166593720,170469856.7,182982585
Kiambu,Kiambaa,Kiambaa,KIAMBAA ,22,KIAMBU ,118,104268,118,Kiambaa,67071168,95661010,101274040,81896551.72,98189655.17,109040875.5,137367724.1,137098879.3,137088879,145087603,175361810,179441954.5,192613248
Kiambu,Kabete,Kabete,KABETE ,22,KIAMBU ,119,91775,119,Kabete,67355903,96092391,101734768,81896551.72,98189655.17,109040875.5,137367724.1,137428879.3,137088879,145087603,175361810,179441954.5,192613248
